"term","frequency","density","occurrence"
"able",44,0.000632602007073641,0.078
"actually",74,0.00106392155735112,0.126
"ago",47,0.000675733962101389,0.08
"aug",68,0.000977657647295626,0.114
"cant",90,0.00129395865083245,0.138
"chris",33,0.00047445150530523,0.044
"code",66,0.000948903010610461,0.056
"comes",24,0.000345055640221986,0.044
"command",18,0.000258791730166489,0.02
"compiled",7,0.000100641228398079,0.014
"created",19,0.000273169048509072,0.034
"cvs",17,0.000244414411823907,0.008
"cwgdatedfaddeepeddycom",2,2.87546366851655e-05,0.004
"date",45,0.000646979325416223,0.07
"day",72,0.00103516692066596,0.094
"debug",3,4.31319550277482e-05,0.006
"delta",4,5.7509273370331e-05,0.004
"error",24,0.000345055640221986,0.034
"every",83,0.00119331742243437,0.118
"exec",5,7.18865917129137e-05,0.006
"exmhworkers",9,0.000129395865083245,0.018
"exmhworkersredhatcom",9,0.000129395865083245,0.018
"explicit",1,1.43773183425827e-05,0.002
"expression",2,2.87546366851655e-05,0.004
"fail",10,0.000143773183425827,0.02
"form",22,0.00031630100353682,0.036
"ftocpickmsgs",1,1.43773183425827e-05,0.002
"ftp",12,0.000172527820110993,0.014
"fuchsiacsmuozau",1,1.43773183425827e-05,0.002
"garrigues",13,0.000186905138453576,0.016
"get",230,0.00330678321879403,0.282
"hand",28,0.000402564913592317,0.04
"happening",9,0.000129395865083245,0.018
"havent",21,0.000301923685194238,0.04
"hit",20,0.000287546366851655,0.03
"hits",7,0.000100641228398079,0.012
"httpslistmanredhatcommailmanlistinfoexmhworkers",9,0.000129395865083245,0.018
"ict",1,1.43773183425827e-05,0.002
"inbox",6,8.62639100554965e-05,0.008
"int",4,5.7509273370331e-05,0.006
"issue",30,0.000431319550277482,0.05
"kre",4,5.7509273370331e-05,0.008
"lbrace",8,0.000115018546740662,0.004
"like",232,0.0033355378554792,0.282
"line",47,0.000675733962101389,0.072
"list",248,0.00356557494896052,0.368
"local",44,0.000632602007073641,0.048
"log",17,0.000244414411823907,0.016
"mailing",74,0.00106392155735112,0.14
"mar",1,1.43773183425827e-05,0.002
"marking",2,2.87546366851655e-05,0.004
"mercury",4,5.7509273370331e-05,0.004
"messageid",4,5.7509273370331e-05,0.008
"mhparam",1,1.43773183425827e-05,0.002
"mhprofile",2,2.87546366851655e-05,0.002
"nmh",11,0.00015815050176841,0.008
"note",20,0.000287546366851655,0.036
"obviously",10,0.000143773183425827,0.02
"one",356,0.00511832532995946,0.336
"part",41,0.000589470052045892,0.064
"pick",36,0.000517583460332979,0.042
"pickit",3,4.31319550277482e-05,0.004
"popup",1,1.43773183425827e-05,0.002
"rbrace",8,0.000115018546740662,0.004
"reach",20,0.000287546366851655,0.036
"relevant",9,0.000129395865083245,0.018
"repeatable",1,1.43773183425827e-05,0.002
"repository",9,0.000129395865083245,0.014
"reproduce",3,4.31319550277482e-05,0.006
"routing",5,7.18865917129137e-05,0.006
"run",87,0.0012508266958047,0.104
"search",12,0.000172527820110993,0.022
"sel",1,1.43773183425827e-05,0.002
"seq",1,1.43773183425827e-05,0.002
"sequence",13,0.000186905138453576,0.008
"since",99,0.00142335451591569,0.15
"still",107,0.00153837306265635,0.152
"subject",162,0.0023291255714984,0.27
"sun",38,0.000546338097018144,0.05
"syntax",3,4.31319550277482e-05,0.006
"thats",92,0.00132271328751761,0.136
"think",172,0.00247289875492423,0.172
"time",188,0.00270293584840556,0.258
"tkerror",1,1.43773183425827e-05,0.002
"tmdadeepeddyvirciocom",4,5.7509273370331e-05,0.008
"today",38,0.000546338097018144,0.066
"using",91,0.00130833596917503,0.126
"version",42,0.000603847370388475,0.066
"wed",30,0.000431319550277482,0.042
"without",61,0.000877016418897547,0.096
"works",48,0.000690111280443972,0.068
"admiring",1,1.43773183425827e-05,0.002
"alexanders",1,1.43773183425827e-05,0.002
"amphitheatre",1,1.43773183425827e-05,0.002
"athos",1,1.43773183425827e-05,0.002
"behind",21,0.000301923685194238,0.028
"car",11,0.00015815050176841,0.012
"community",30,0.000431319550277482,0.054
"crowds",2,2.87546366851655e-05,0.004
"dvds",53,0.000761997872156885,0.106
"east",8,0.000115018546740662,0.014
"email",188,0.00270293584840556,0.276
"far",43,0.000618224688731058,0.072
"fast",30,0.000431319550277482,0.048
"features",14,0.000201282456796158,0.026
"forteanaunsubscribeegroupscom",90,0.00129395865083245,0.174
"free",119,0.00171090088276735,0.184
"granite",2,2.87546366851655e-05,0.002
"greek",1,1.43773183425827e-05,0.002
"group",232,0.0033355378554792,0.388
"groups",196,0.00281795439514622,0.194
"high",54,0.000776375190499468,0.078
"httpdocsyahoocominfoterms",89,0.00127958133248986,0.174
"httpusclickyahoocomptybbnxieaamghaagsolbtm",11,0.00015815050176841,0.022
"ideal",6,8.62639100554965e-05,0.012
"itll",7,0.000100641228398079,0.014
"join",70,0.00100641228398079,0.124
"judged",1,1.43773183425827e-05,0.002
"kerdylio",1,1.43773183425827e-05,0.002
"limestone",5,7.18865917129137e-05,0.004
"martin",17,0.000244414411823907,0.028
"miles",7,0.000100641228398079,0.014
"monastic",1,1.43773183425827e-05,0.002
"mount",5,7.18865917129137e-05,0.008
"mountain",9,0.000129395865083245,0.016
"museum",3,4.31319550277482e-05,0.006
"now",231,0.00332116053713661,0.324
"papadopoulos",1,1.43773183425827e-05,0.002
"park",21,0.000301923685194238,0.024
"patriotic",1,1.43773183425827e-05,0.002
"plan",25,0.000359432958564569,0.046
"planned",6,8.62639100554965e-05,0.012
"posted",12,0.000172527820110993,0.02
"pretty",33,0.00047445150530523,0.054
"restored",1,1.43773183425827e-05,0.002
"salonika",1,1.43773183425827e-05,0.002
"sculptor",3,4.31319550277482e-05,0.006
"sculpture",2,2.87546366851655e-05,0.004
"send",124,0.00178278747448026,0.224
"sponsor",91,0.00130833596917503,0.18
"tassos",1,1.43773183425827e-05,0.002
"unsubscribe",97,0.00139459987923053,0.188
"use",271,0.00389625327083992,0.378
"weather",7,0.000100641228398079,0.014
"well",103,0.00148086378928602,0.154
"wide",6,8.62639100554965e-05,0.01
"yahoo",190,0.00273169048509072,0.19
"agencies",19,0.000273169048509072,0.01
"appeared",6,8.62639100554965e-05,0.01
"armed",2,2.87546366851655e-05,0.004
"attempt",5,7.18865917129137e-05,0.01
"august",63,0.000905771055582713,0.108
"authorities",4,5.7509273370331e-05,0.008
"automatic",5,7.18865917129137e-05,0.01
"available",40,0.00057509273370331,0.064
"away",33,0.00047445150530523,0.056
"ballet",1,1.43773183425827e-05,0.002
"blocks",3,4.31319550277482e-05,0.006
"blow",4,5.7509273370331e-05,0.008
"bolshoi",1,1.43773183425827e-05,0.002
"building",24,0.000345055640221986,0.038
"carrying",5,7.18865917129137e-05,0.01
"citing",2,2.87546366851655e-05,0.004
"claimed",13,0.000186905138453576,0.026
"continued",7,0.000100641228398079,0.012
"custody",2,2.87546366851655e-05,0.004
"demanded",2,2.87546366851655e-05,0.004
"details",21,0.000301923685194238,0.032
"drove",4,5.7509273370331e-05,0.006
"ekho",1,1.43773183425827e-05,0.002
"escort",1,1.43773183425827e-05,0.002
