"term","frequency","density","occurrence"
"access",102,0.000737116717373552,0.108
"affordable",12,8.67196138086532e-05,0.022
"aligndcenterbfont",60,0.000433598069043266,0.05
"aligndcenterbrp",1,7.22663448405443e-06,0.002
"aligndleftbrbbrbrbrbrp",1,7.22663448405443e-06,0.002
"aligndleftbrbbrbrfontif",1,7.22663448405443e-06,0.002
"aligndleftfont",11,7.94929793245987e-05,0.016
"aligndleftp",1,7.22663448405443e-06,0.002
"aligndleftpfontuibbrfontubui",1,7.22663448405443e-06,0.002
"aligndmiddle",9,6.50397103564899e-05,0.016
"andor",8,5.78130758724354e-05,0.014
"best",167,0.00120684795883709,0.188
"black",100,0.000722663448405443,0.048
"body",379,0.00273889446945663,0.408
"bold",16,0.000115626151744871,0.018
"bordercolord",85,0.000614263931144627,0.086
"borderd",447,0.00323030561437233,0.17
"brbrbrfontpcentercentertrtbodytablecenter",1,7.22663448405443e-06,0.002
"buying",26,0.000187892496585415,0.042
"calypso",4,2.89065379362177e-05,0.002
"can",512,0.00370003685583587,0.342
"cellpaddingd",270,0.0019511913106947,0.14
"cellspacingd",286,0.00206681746243957,0.142
"center",357,0.00257990851080743,0.18
"centerbrbrbr",1,7.22663448405443e-06,0.002
"centercentercentercenterbodyhtml",1,7.22663448405443e-06,0.002
"centerfont",6,4.33598069043266e-05,0.012
"centerlife",1,7.22663448405443e-06,0.002
"centerprotecting",1,7.22663448405443e-06,0.002
"centersave",1,7.22663448405443e-06,0.002
"centerwhy",1,7.22663448405443e-06,0.002
"charsetdwindows",26,0.000187892496585415,0.052
"click",218,0.00157540631752387,0.3
"colord",242,0.00174884554514117,0.11
"colordblack",2,1.44532689681089e-05,0.002
"colordff",153,0.00110567507606033,0.09
"colspand",141,0.00101895546225167,0.086
"companies",82,0.000592584027692463,0.094
"compare",19,0.000137306055197034,0.026
"complete",80,0.000578130758724354,0.056
"contentdmshtml",7,5.0586441388381e-05,0.014
"contentdtexthtml",70,0.00050586441388381,0.14
"country",89,0.000643170469080844,0.09
"coverage",8,5.78130758724354e-05,0.014
"display",15,0.000108399517260816,0.014
"disregard",7,5.0586441388381e-05,0.008
"doctype",32,0.000231252303489742,0.064
"dollars",124,0.000896102676022749,0.11
"dthd",2,1.44532689681089e-05,0.002
"eas",1,7.22663448405443e-06,0.002
"email",813,0.00587525383553625,0.566
"emailbrfontbrbrbrbrbrbrbrbrbrbrbrbrbr",1,7.22663448405443e-06,0.002
"end",43,0.000310745282814341,0.058
"error",63,0.000455277972495429,0.118
"eve",3,2.16799034521633e-05,0.006
"even",93,0.000672077007017062,0.126
"facedarial",343,0.00247873562803067,0.138
"facedcopperplate",3,2.16799034521633e-05,0.002
"facedverdana",192,0.00138751382093845,0.068
"facedverdanaarialhelvetica",1,7.22663448405443e-06,0.002
"family",60,0.000433598069043266,0.084
"familys",8,5.78130758724354e-05,0.016
"fast",28,0.000202345765553524,0.046
"financial",122,0.000881649407054641,0.122
"font",899,0.00649674440116493,0.326
"fontp",59,0.000426371434559211,0.084
"fonttdtr",11,7.94929793245987e-05,0.008
"free",539,0.00389515598690534,0.39
"get",392,0.00283284071774934,0.32
"gothic",7,5.0586441388381e-05,0.01
"heightd",573,0.00414086155936319,0.136
"help",165,0.00119239468986898,0.182
"helvetica",584,0.00422035453868779,0.168
"herea",76,0.000549224220788137,0.124
"hrefdhttpwebsiteeccsavequoteclick",1,7.22663448405443e-06,0.002
"hrefdmailtocoinsbtamailnetcnplease",1,7.22663448405443e-06,0.002
"html",398,0.00287620052465366,0.38
"htmlhead",15,0.000108399517260816,0.03
"httpequivdcontentt",1,7.22663448405443e-06,0.002
"hundreds",53,0.000383011627654885,0.072
"iddcalyprintheader",1,7.22663448405443e-06,0.002
"important",46,0.000332425186266504,0.066
"inserted",4,2.89065379362177e-05,0.006
"insuran",1,7.22663448405443e-06,0.002
"insurance",153,0.00110567507606033,0.1
"insurancecenterfontfont",1,7.22663448405443e-06,0.002
"investment",118,0.000852742869118423,0.11
"kes",1,7.22663448405443e-06,0.002
"less",55,0.000397464896622994,0.076
"let",39,0.000281838744878123,0.06
"life",184,0.00132970074506602,0.126
"lifequote",1,7.22663448405443e-06,0.002
"list",409,0.00295569350397826,0.444
"lowest",36,0.00026015884142596,0.058
"makebrbtdtr",1,7.22663448405443e-06,0.002
"meta",226,0.0016332193933963,0.23
"minutes",31,0.000224025669005687,0.042
"money",480,0.00346878455234613,0.224
"namedgeneratorhead",10,7.22663448405443e-05,0.02
"new",390,0.00281838744878123,0.31
"none",24,0.000173439227617306,0.028
"noshade",25,0.000180665862101361,0.046
"paddingright",22,0.000158985958649197,0.006
"pfont",172,0.00124298113125736,0.162
"please",425,0.00307131965572313,0.508
"prohibits",2,1.44532689681089e-05,0.004
"provide",68,0.000491411144915701,0.098
"ptsized",2,1.44532689681089e-05,0.002
"public",75,0.000541997586304082,0.11
"quote",29,0.000209572400037578,0.034
"quoteafontbptd",1,7.22663448405443e-06,0.002
"ratesfontbtdtr",1,7.22663448405443e-06,0.002
"receipt",9,6.50397103564899e-05,0.018
"remove",122,0.000881649407054641,0.204
"removed",164,0.00118516805538493,0.242
"requesting",20,0.000144532689681089,0.038
"reside",1,7.22663448405443e-06,0.002
"sansserif",528,0.00381566300758074,0.156
"save",103,0.000744343351857606,0.11
"saves",2,1.44532689681089e-05,0.004
"savings",25,0.000180665862101361,0.028
"savingsb",1,7.22663448405443e-06,0.002
"security",91,0.000657623738048953,0.076
"service",128,0.000925009213958967,0.162
"shop",23,0.000166212593133252,0.04
"simple",101,0.000729890082889498,0.108
"sized",713,0.00515259038713081,0.178
"sizeda",19,0.000137306055197034,0.036
"sizedblife",1,7.22663448405443e-06,0.002
"sizedbrfonttd",1,7.22663448405443e-06,0.002
"sizedensurin",1,7.22663448405443e-06,0.002
"sizedstrong",1,7.22663448405443e-06,0.002
"solicitations",1,7.22663448405443e-06,0.002
"spend",8,5.78130758724354e-05,0.014
"started",52,0.00037578499317083,0.048
"state",135,0.000975595655347348,0.14
"styledcolor",42,0.000303518648330286,0.04
"styledpaddingleft",2,1.44532689681089e-05,0.002
"table",1196,0.0086430548429291,0.312
"take",122,0.000881649407054641,0.164
"tbody",177,0.00127911430367763,0.096
"tbodytbodytable",1,7.22663448405443e-06,0.002
"tdtrtbodytable",8,5.78130758724354e-05,0.014
"tdtrtdtr",1,7.22663448405443e-06,0.002
"tho",1,7.22663448405443e-06,0.002
"transitionalen",26,0.000187892496585415,0.052
"trbrbr",1,7.22663448405443e-06,0.002
"trbrbrstrongfonttdtrtdtr",1,7.22663448405443e-06,0.002
"trtable",1,7.22663448405443e-06,0.002
"trtrtbodytable",1,7.22663448405443e-06,0.002
"type",34,0.000245705572457851,0.054
"types",6,4.33598069043266e-05,0.012
"ues",2,1.44532689681089e-05,0.004
"ulesdnone",1,7.22663448405443e-06,0.002
"usands",1,7.22663448405443e-06,0.002
